"","rok","sport","disciplina","medaile","stat","jmena","vysledek"
"660","2002","Skeleton","Individual","bronz","GBR","Alex COOMBER","00:01:45.37"
"661","2002","Speed Skating","500m","zlato","USA","Casey FITZRANDOLPH","00:01:09.23 "
"662","2002","Speed Skating","500m","stříbro","JPN","Hiroyasu SHIMIZU","00:01:09.26"
"663","2002","Speed Skating","500m","bronz","USA","Kip CARPENTER","00:01:09.47"
"664","2002","Speed Skating","500m","zlato","CAN","Catriona LEMAY DOAN","00:01:14.75 "
"665","2002","Speed Skating","500m","stříbro","GER","Monique GARBRECHT-ENFELDT","00:01:14.94"
"666","2002","Speed Skating","500m","bronz","GER","Sabine VOELKER","00:01:15.19"
"667","2002","Speed Skating","1000m","zlato","NED","Gerard VAN VELDE","00:01:07.18 "
"668","2002","Speed Skating","1000m","stříbro","NED","Jan BOS","00:01:07.53"
"669","2002","Speed Skating","1000m","bronz","USA","Joey CHEEK","00:01:07.61"
"670","2002","Speed Skating","1000m","zlato","USA","Chris WITTY","00:01:13.83 "
"671","2002","Speed Skating","1000m","stříbro","GER","Sabine VOELKER","00:01:13.96"
"672","2002","Speed Skating","1000m","bronz","USA","Jennifer RODRIGUEZ","00:01:14.24"
"673","2002","Speed Skating","1500m","zlato","USA","Derek PARRA","00:01:43.95 "
"674","2002","Speed Skating","1500m","stříbro","NED","Jochem UYTDEHAAGE","00:01:44.57"
"675","2002","Speed Skating","1500m","bronz","NOR","Adne SONDRAL","00:01:45.26"
"676","2002","Speed Skating","1500m","zlato","GER","Anni FRIESINGER","00:01:54.02 "
"677","2002","Speed Skating","1500m","stříbro","GER","Sabine VOELKER","00:01:54.97"
"678","2002","Speed Skating","1500m","bronz","USA","Jennifer RODRIGUEZ","00:01:55.32"
"679","2002","Speed Skating","3000m","zlato","GER","Claudia PECHSTEIN","00:03:57.70"
"680","2002","Speed Skating","3000m","stříbro","NED","Renate GROENEWOLD","00:03:58.94"
"681","2002","Speed Skating","3000m","bronz","CAN","Cindy KLASSEN","00:03:58.97"
